ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1697561	3.96e-04	6.68e-05	-4.316321	1.566579	-0.7554214	289666745	FBXL16	F-box and leucine rich repeat protein 16
ILMN_2273053	3.75e-04	6.25e-05	4.33584	1.56545	0.6429185	NA		
ILMN_1735930	2.79e-04	4.37e-05	-4.441552	1.563909	-0.2445592	1016470339	KLF2	Kruppel like factor 2
ILMN_1760360	3.16e-04	5.09e-05	-4.396746	1.561595	-0.3094942	231573213	LTN1	listerin E3 ubiquitin protein ligase 1
ILMN_1716913	3.01e-04	4.79e-05	4.414094	1.553493	0.2900368	262263325	TRAPPC1	trafficking protein particle complex 1
ILMN_2076940	3.83e-04	6.41e-05	-4.328388	1.547162	-0.4575177	400153649	MEAF6	MYST/Esa1 associated factor 6
ILMN_2174729	3.79e-04	6.33e-05	-4.332088	1.546695	-0.6467223	120587018	ZNF318	zinc finger protein 318
ILMN_1764398	4.05e-04	6.86e-05	-4.308261	1.546444	-0.5798218	223278354	TUBE1	tubulin epsilon 1
ILMN_1712887	3.12e-04	5.00e-05	4.401724	1.545014	0.2371567	541862383	SLC10A3	solute carrier family 10 member 3
ILMN_2393994	3.51e-04	5.77e-05	-4.359767	1.542639	-0.4451708	303305004	CSPP1	centrosome and spindle pole associated protein 1
ILMN_2398039	3.94e-04	6.64e-05	-4.318151	1.53707	-0.4140512	91208416	TCERG1	transcription elongation regulator 1
ILMN_1737964	3.08e-04	4.93e-05	4.405771	1.535428	0.5240073	94721310	MFSD14B	major facilitator superfamily domain containing 14B
ILMN_1692177	3.37e-04	5.49e-05	4.374077	1.535272	0.7168002	345090982	TSC22D1	TSC22 domain family member 1
ILMN_1678612	3.70e-04	6.15e-05	-4.340901	1.534698	-0.476208	302129650	ANXA6	annexin A6
ILMN_1769849	4.23e-04	7.21e-05	4.293684	1.534306	0.8098307	315434265	HORMAD1	HORMA domain containing 1
ILMN_1770787	4.09e-04	6.95e-05	4.304657	1.532422	0.8202887	731441425	DDAH2	dimethylarginine dimethylaminohydrolase 2
ILMN_1735552	3.07e-04	4.92e-05	4.406774	1.530759	0.5394871	189339259	KIF1B	kinesin family member 1B
ILMN_1709233	3.25e-04	5.27e-05	4.386148	1.530439	0.728684	119395710	F5	coagulation factor V
