ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
ILMN_2169490	TDRD9	tudor domain containing 9	1.001	5.102
ILMN_2170814	LAMP3	lysosomal associated membrane protein 3	1.668	4.536
ILMN_2173975	RTP4	receptor transporter protein 4	1.385	9.194
ILMN_2176063	FCGR1A	Fc fragment of IgG receptor Ia	2.913	15.671
ILMN_2193213	DEFA1	defensin alpha 1	1.139	2.809
ILMN_2193752	MBLAC2	metallo-beta-lactamase domain containing 2	-1.205	5.103
ILMN_2204545	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	1.039	6.862
ILMN_2204876	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2	1.234	10.538
ILMN_2212999	KIF5C	kinesin family member 5C	-1.139	3.705
ILMN_2216815	MAP7	microtubule associated protein 7	-1.397	5.414
ILMN_2221046	GM2A	GM2 ganglioside activator	1.024	4.614
ILMN_2223772	GP6	glycoprotein VI platelet	1.461	8.785
ILMN_2224444			-1.078	7.129
ILMN_2226271	INSL3	insulin like 3	1.023	3.011
ILMN_2227195	CCDC65	coiled-coil domain containing 65	-1.407	7.232
ILMN_2239754	IFIT3	interferon induced protein with tetratricopeptide repeats 3	1.234	4.549
ILMN_2249018	LRRC26	leucine rich repeat containing 26	-1.423	6.331
ILMN_2260082	NAIP	NLR family apoptosis inhibitory protein	1.684	5.248
ILMN_2261600	FCGR1B	Fc fragment of IgG receptor Ib	2.684	16.222
ILMN_2270443	LIMK2	LIM domain kinase 2	1.352	6.733
ILMN_2279844	LCK	LCK proto-oncogene, Src family tyrosine kinase	-1.29	4.911
ILMN_2280548	FYB	FYN binding protein	1.064	6.258
ILMN_2302757	FCGBP	Fc fragment of IgG binding protein	-1.74	9.697
ILMN_2309180	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	1.4	10.466
ILMN_2316236	HOPX	HOP homeobox	-1.074	7.404
ILMN_2321578	P2RY10	purinergic receptor P2Y10	-1.125	8.109
ILMN_2321634	RAD17	RAD17 checkpoint clamp loader component	-1.218	6.644
ILMN_2325337	APOL2	apolipoprotein L2	1.207	9.853
ILMN_2325338	APOL2	apolipoprotein L2	1.023	9.343
ILMN_2337655	WARS	tryptophanyl-tRNA synthetase	1.429	16.37
ILMN_2337928	CXCR5	C-X-C motif chemokine receptor 5	-1.397	6.991
ILMN_2342638	ASGR2	asialoglycoprotein receptor 2	1.392	8.163
ILMN_2342695	PDGFA	platelet derived growth factor subunit A	1.324	7.717
ILMN_2347798	IFI6	interferon alpha inducible protein 6	1.433	6.109
ILMN_2357419	LILRA5	leukocyte immunoglobulin like receptor A5	1.24	7.802
ILMN_2366212	CD79B	CD79b molecule	-1.037	8.013
ILMN_2367671	LIMK2	LIM domain kinase 2	1.382	9.731
ILMN_2368773	FAM3C	family with sequence similarity 3 member C	-1.088	8.966
ILMN_2369221			1.321	4.364
ILMN_2370573	XAF1	XIAP associated factor 1	1.026	4.974
ILMN_2371055	EFNA1	ephrin A1	-1.096	5.116
ILMN_2371724	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1	1.304	8.445
ILMN_2382906	PLCG1	phospholipase C gamma 1	-1.231	8.819
ILMN_2383058	SIRPG	signal regulatory protein gamma	-1.015	4.813
ILMN_2383306	GPATCH4	G-patch domain containing 4	-1.212	3.965
ILMN_2384181			1.287	7.252
ILMN_2385278	DCAF4	DDB1 and CUL4 associated factor 4	-1.24	8.79
ILMN_2386790	KLRC3	killer cell lectin like receptor C3	-1.034	4.747
ILMN_2388090	MAPK14	mitogen-activated protein kinase 14	1.15	6.768
ILMN_2388547	EPSTI1	epithelial stromal interaction 1 (breast)	1.598	9.246
ILMN_2389590	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	-1.216	2.212
ILMN_2389876	TGFB1I1	transforming growth factor beta 1 induced transcript 1	1.018	5.437
ILMN_2391051	FCGR1B	Fc fragment of IgG receptor Ib	2.797	15.363
ILMN_2393296	GK	glycerol kinase	1.371	9.707
ILMN_2405324	IFNLR1	interferon lambda receptor 1	-1.216	6.717
ILMN_2410826	OAS1	2'-5'-oligoadenylate synthetase 1	1.011	4.077
ILMN_2411559	PUS1	pseudouridylate synthase 1	-1.049	4.781
ILMN_2415529	CDK5RAP2	CDK5 regulatory subunit associated protein 2	1.437	8.085
